album_id,album_id_matrix,artist_id,artist_id_matrix,play_count
al_193,193,ar_81,81,60924086
al_194,194,ar_110,110,1459794
al_195,195,ar_106,106,75718
al_196,196,ar_43,43,1988395
al_197,197,ar_116,116,25384
al_198,198,ar_112,112,506
al_199,199,ar_112,112,16778
al_200,200,ar_112,112,1400249
al_201,201,ar_84,84,12999
al_202,202,ar_112,112,11638
al_203,203,ar_9,9,5123
al_204,204,ar_9,9,59717556
al_205,205,ar_5,5,8466388
al_206,206,ar_112,112,25
al_207,207,ar_5,5,3461
al_208,208,ar_117,117,4806532
al_209,209,ar_9,9,2464
al_210,210,ar_108,108,39778
al_211,211,ar_118,118,5528564
al_212,212,ar_92,92,29109115
al_213,213,ar_107,107,8181666
al_214,214,ar_107,107,277811
al_215,215,ar_113,113,15101267
al_216,216,ar_107,107,936801
al_217,217,ar_107,107,488
al_218,218,ar_106,106,5055685
al_219,219,ar_107,107,2196
al_220,220,ar_69,69,41816
al_221,221,ar_107,107,159
al_222,222,ar_107,107,27
al_223,223,ar_107,107,4747357
al_224,224,ar_105,105,40772789
al_225,225,ar_105,105,2949
al_226,226,ar_105,105,74291074
al_227,227,ar_119,119,15416
al_228,228,ar_120,120,21764983
al_229,229,ar_121,121,7657760
al_230,230,ar_123,123,7455247
al_231,231,ar_120,120,2278399
al_232,232,ar_125,125,286165
al_233,233,ar_119,119,4258
al_234,234,ar_126,126,287793
al_235,235,ar_127,127,3274656
al_236,236,ar_128,128,1797
al_237,237,ar_129,129,28
al_238,238,ar_130,130,18602387
al_239,239,ar_132,132,8267924
al_240,240,ar_133,133,348359
al_241,241,ar_134,134,30789
al_242,242,ar_135,135,10
al_243,243,ar_137,137,11767229
al_244,244,ar_138,138,2553051
al_245,245,ar_119,119,48613
al_246,246,ar_139,139,523060
al_247,247,ar_140,140,5781987
al_248,248,ar_141,141,849228
al_249,249,ar_119,119,41219
al_250,250,ar_143,143,364841
al_251,251,ar_144,144,7072
al_252,252,ar_145,145,2922
al_253,253,ar_120,120,111366
al_254,254,ar_146,146,930486
al_255,255,ar_64,64,3995193
al_256,256,ar_130,130,16308395
al_257,257,ar_81,81,23553
al_258,258,ar_57,57,1586189
al_259,259,ar_147,147,3844
al_260,260,ar_148,148,30131
al_261,261,ar_149,149,32912
al_262,262,ar_150,150,1104407
al_263,263,ar_151,151,74479
al_264,264,ar_152,152,915219
al_265,265,ar_154,154,18537048
al_266,266,ar_155,155,1988
al_267,267,ar_156,156,547
al_268,268,ar_157,157,38145466
al_269,269,ar_157,157,17661107
al_270,270,ar_158,158,16988698
al_271,271,ar_159,159,3971782
al_272,272,ar_160,160,127050
al_273,273,ar_162,162,1328651
al_274,274,ar_109,109,33842140
al_275,275,ar_164,164,536212
al_276,276,ar_165,165,661125
al_277,277,ar_167,167,13046
al_278,278,ar_168,168,5224199
al_279,279,ar_169,169,263428
al_280,280,ar_170,170,8438985
al_281,281,ar_171,171,1231
al_282,282,ar_172,172,12194458
al_283,283,ar_173,173,9447437
al_284,284,ar_174,174,9385112
al_285,285,ar_175,175,153965
al_286,286,ar_124,124,7295879
al_287,287,ar_176,176,1124001
al_288,288,ar_177,177,4575159
al_289,289,ar_139,139,1594601
al_290,290,ar_179,179,1442804
al_291,291,ar_180,180,619827
al_292,292,ar_181,181,52386169
al_293,293,ar_183,183,1401
al_294,294,ar_185,185,734626
al_295,295,ar_186,186,8940450
al_296,296,ar_187,187,10121253
al_297,297,ar_188,188,1670987
al_298,298,ar_190,190,147742
al_299,299,ar_191,191,50510
al_300,300,ar_192,192,3459901
al_301,301,ar_192,192,32189
al_302,302,ar_192,192,141014
al_303,303,ar_190,190,62037
al_304,304,ar_194,194,364756
al_305,305,ar_192,192,2091279
al_306,306,ar_192,192,4104158
al_307,307,ar_192,192,45169
al_308,308,ar_45,45,115302
al_309,309,ar_192,192,1663997
al_310,310,ar_190,190,624409
al_311,311,ar_192,192,404197
al_312,312,ar_190,190,126
al_313,313,ar_196,196,14562
al_314,314,ar_11,11,2396644
al_315,315,ar_192,192,263155
al_316,316,ar_197,197,609204
al_317,317,ar_196,196,64173
al_318,318,ar_198,198,330041
al_319,319,ar_190,190,143
al_320,320,ar_200,200,7851794
al_321,321,ar_192,192,6298384
al_322,322,ar_190,190,1837297
al_323,323,ar_190,190,8606456
al_324,324,ar_201,201,5508233
al_325,325,ar_192,192,79379
al_326,326,ar_192,192,3493297
al_327,327,ar_190,190,1091275
al_328,328,ar_192,192,2424755
al_329,329,ar_204,204,119
al_330,330,ar_192,192,10819
al_331,331,ar_205,205,4995108
al_332,332,ar_206,206,1192755
al_333,333,ar_192,192,205464
al_334,334,ar_192,192,9272
al_335,335,ar_207,207,103553
al_336,336,ar_192,192,224850
al_337,337,ar_208,208,2416
al_338,338,ar_209,209,2083046
al_339,339,ar_210,210,120935
al_340,340,ar_211,211,105694
al_341,341,ar_213,213,3249
al_342,342,ar_191,191,8193273
al_343,343,ar_200,200,421424
al_344,344,ar_215,215,95591
al_345,345,ar_216,216,186
al_346,346,ar_213,213,1166
al_347,347,ar_46,46,2215312
al_348,348,ar_192,192,3413747
al_349,349,ar_192,192,695932
al_350,350,ar_190,190,107
al_351,351,ar_190,190,1083
al_352,352,ar_190,190,31
al_353,353,ar_192,192,8773815
al_354,354,ar_213,213,33562
al_355,355,ar_44,44,681610
al_356,356,ar_219,219,775640
al_357,357,ar_44,44,18606559
al_358,358,ar_220,220,1887811
al_359,359,ar_44,44,7870
al_360,360,ar_44,44,2887809
al_361,361,ar_44,44,409195
al_362,362,ar_44,44,46817139
al_363,363,ar_44,44,3504
al_364,364,ar_44,44,44005878
al_365,365,ar_44,44,8588
al_366,366,ar_44,44,869
al_367,367,ar_139,139,2260511
al_368,368,ar_44,44,2807744
al_369,369,ar_44,44,3320003
al_370,370,ar_44,44,2172
al_371,371,ar_44,44,2427
al_372,372,ar_44,44,1761
al_373,373,ar_44,44,1416
al_374,374,ar_44,44,1726
al_375,375,ar_44,44,8506055
al_376,376,ar_44,44,1074287
al_377,377,ar_44,44,699
al_378,378,ar_44,44,4176
al_379,379,ar_44,44,5812
al_380,380,ar_228,228,3054462
al_381,381,ar_226,226,1501
al_382,382,ar_62,62,32178
al_383,383,ar_62,62,49724361
al_384,384,ar_9,9,7057768
al_385,385,ar_70,70,974059
al_386,386,ar_231,231,6312252
al_387,387,ar_231,231,1444685
al_388,388,ar_231,231,597177
al_389,389,ar_234,234,199981
al_390,390,ar_0,0,748874
al_391,391,ar_235,235,710465
al_392,392,ar_237,237,1056339
al_393,393,ar_238,238,4628606
al_394,394,ar_239,239,13291900
al_395,395,ar_237,237,203343
al_396,396,ar_237,237,7326
al_397,397,ar_9,9,56206121
al_398,398,ar_238,238,1734
al_399,399,ar_237,237,325
al_400,400,ar_237,237,56284
al_401,401,ar_22,22,103369398
al_402,402,ar_9,9,102805
al_403,403,ar_69,69,2322129
al_404,404,ar_237,237,8598
al_405,405,ar_81,81,46277234
al_406,406,ar_81,81,40782
al_407,407,ar_240,240,270
al_408,408,ar_241,241,7748411
al_409,409,ar_9,9,1243
al_410,410,ar_2,2,37932478
al_411,411,ar_22,22,2718
al_412,412,ar_81,81,113880
al_413,413,ar_237,237,1563828
al_414,414,ar_69,69,1818
al_415,415,ar_242,242,12623
al_416,416,ar_9,9,7926
al_417,417,ar_237,237,1663736
al_418,418,ar_81,81,55412
al_419,419,ar_243,243,3462742
al_420,420,ar_237,237,222886
al_421,421,ar_69,69,32454804
al_422,422,ar_245,245,54177
al_423,423,ar_48,48,17719966
al_424,424,ar_17,17,27078
al_425,425,ar_17,17,9637
al_426,426,ar_17,17,34555
al_427,427,ar_248,248,2185601
al_428,428,ar_17,17,10848
al_429,429,ar_72,72,4092147
al_430,430,ar_250,250,10618128
al_431,431,ar_17,17,37085336
al_432,432,ar_109,109,1273
al_433,433,ar_17,17,13241524
al_434,434,ar_48,48,29445201
al_435,435,ar_251,251,487581
al_436,436,ar_2,2,58714800
al_437,437,ar_17,17,20015572
al_438,438,ar_252,252,1016091
al_439,439,ar_253,253,17953893
al_440,440,ar_255,255,25661995
al_441,441,ar_48,48,37721153
al_442,442,ar_256,256,875539
al_443,443,ar_72,72,388050
al_444,444,ar_257,257,26988770
al_445,445,ar_249,249,27484412
al_446,446,ar_249,249,30685587
