artist_id,artist_id_matrix,play_count
ar_0,0,451654363
ar_1,1,166193309
ar_2,2,750141909
ar_3,3,412982
ar_4,4,333149680
ar_5,5,68487079
ar_6,6,214956646
ar_7,7,192624087
ar_8,8,20113243
ar_9,9,420032448
ar_10,10,83748521
ar_11,11,134243335
ar_12,12,17398172
ar_13,13,187522058
ar_14,14,9202767
ar_15,15,49673525
ar_16,16,48436473
ar_17,17,451201575
ar_18,18,2446860
ar_19,19,34216461
ar_20,20,63548875
ar_21,21,138610475
ar_22,22,256729199
ar_23,23,155907556
ar_24,24,16608486
ar_25,25,197367
ar_26,26,189171947
ar_27,27,62254705
ar_28,28,900273
ar_29,29,2559181
ar_30,30,136391
ar_31,31,1326088
ar_32,32,16032100
ar_33,33,7661588
ar_34,34,258073
ar_35,35,77268488
ar_36,36,515726363
ar_37,37,17643146
ar_38,38,59706
ar_39,39,144308131
ar_40,40,140001581
ar_41,41,31926859
ar_42,42,145930889
ar_43,43,27096813
ar_44,44,247140841
ar_45,45,20829266
ar_46,46,368694695
ar_47,47,53219509
ar_48,48,617942623
ar_49,49,4649988
ar_50,50,69713603
ar_51,51,32034038
ar_52,52,39991883
ar_53,53,20257785
ar_54,54,7981206
ar_55,55,97780956
ar_56,56,262603
ar_57,57,330602481
ar_58,58,104957
ar_59,59,490275
ar_60,60,86170849
ar_61,61,29643045
ar_62,62,1273689512
ar_63,63,440787
ar_64,64,80569331
ar_65,65,6688753
ar_66,66,2575345
ar_67,67,31689524
ar_68,68,25637064
ar_69,69,156247030
ar_70,70,5915072
ar_71,71,38069609
ar_72,72,31170477
ar_73,73,9950225
ar_74,74,34761242
ar_75,75,24760659
ar_76,76,23490626
ar_77,77,15263517
ar_78,78,435784
ar_79,79,2022735
ar_80,80,13020646
ar_81,81,193925102
ar_82,82,91398414
ar_83,83,6740582
ar_84,84,41196047
ar_85,85,2098078
ar_86,86,59718761
ar_87,87,98380391
ar_88,88,5458169
ar_89,89,82528498
ar_90,90,59651052
ar_91,91,58388757
ar_92,92,318783641
ar_93,93,30487
ar_94,94,10825175
ar_95,95,421355
ar_96,96,9575973
ar_97,97,120128435
ar_98,98,7860126
ar_99,99,102210621
ar_100,100,70795
ar_101,101,63019558
ar_102,102,611698
ar_103,103,3661914
ar_104,104,114203671
ar_105,105,224339619
ar_106,106,154736275
ar_107,107,29450463
ar_108,108,5640438
ar_109,109,315768530
ar_110,110,11100777
ar_111,111,277852678
ar_112,112,4672068
ar_113,113,65645005
ar_114,114,255770429
ar_115,115,130857772
ar_116,116,19526591
ar_117,117,38376936
ar_118,118,36285009
ar_119,119,36989785
ar_120,120,93884345
ar_121,121,23130522
ar_122,122,6255371
ar_123,123,42843222
ar_124,124,27340253
ar_125,125,2632553
ar_126,126,90419354
ar_127,127,15962769
ar_128,128,33326563
ar_129,129,22842056
ar_130,130,125047620
ar_131,131,344114
ar_132,132,17804987
ar_133,133,4060955
ar_134,134,51833988
ar_135,135,26264
ar_136,136,33762023
ar_137,137,221718794
ar_138,138,14047856
ar_139,139,108409756
ar_140,140,18072165
ar_141,141,14427644
ar_142,142,24116314
ar_143,143,11585279
ar_144,144,176421
ar_145,145,18034
ar_146,146,36795632
ar_147,147,5983157
ar_148,148,43138588
ar_149,149,143224069
ar_150,150,11455282
ar_151,151,1612473
ar_152,152,14113526
ar_153,153,8951773
ar_154,154,171442091
ar_155,155,2656133
ar_156,156,8982297
ar_157,157,354763967
ar_158,158,187462229
ar_159,159,13204978
ar_160,160,42307484
ar_161,161,432539
ar_162,162,5309688
ar_163,163,62029
ar_164,164,54481071
ar_165,165,4396905
ar_166,166,503305
ar_167,167,506372
ar_168,168,27065891
ar_169,169,13229861
ar_170,170,32996093
ar_171,171,2010
ar_172,172,65901409
ar_173,173,166372425
ar_174,174,35225800
ar_175,175,1208297
ar_176,176,157858335
ar_177,177,23518211
ar_178,178,6366271
ar_179,179,29703207
ar_180,180,1501324
ar_181,181,380870338
ar_182,182,1641540
ar_183,183,9527932
ar_184,184,11886752
ar_185,185,19492940
ar_186,186,32505459
ar_187,187,275846661
ar_188,188,2163579
ar_189,189,2529611
ar_190,190,16557454
ar_191,191,54663890
ar_192,192,114642586
ar_193,193,7074903
ar_194,194,11426644
ar_195,195,29387
ar_196,196,659911
ar_197,197,2964768
ar_198,198,8699545
ar_199,199,4857079
ar_200,200,88702007
ar_201,201,258073
ar_202,202,625813
ar_203,203,996738
ar_204,204,70602
ar_205,205,49743778
ar_206,206,94595624
ar_207,207,12257224
ar_208,208,287775
ar_209,209,9728448
ar_210,210,44103560
ar_211,211,10438785
ar_212,212,973379
ar_213,213,4399970
ar_214,214,1826716
ar_215,215,12603692
ar_216,216,283472
ar_217,217,4098460
ar_218,218,79818131
ar_219,219,1395994
ar_220,220,17472287
ar_221,221,27843375
ar_222,222,1702253019
ar_223,223,116313347
ar_224,224,57568119
ar_225,225,2162922
ar_226,226,92218376
ar_227,227,45491709
ar_228,228,9703081
ar_229,229,14602003
ar_230,230,14484681
ar_231,231,64902458
ar_232,232,148917205
ar_233,233,28258275
ar_234,234,6512770
ar_235,235,10740217
ar_236,236,16245397
ar_237,237,22283959
ar_238,238,18406854
ar_239,239,121288796
ar_240,240,4157031
ar_241,241,11768871
ar_242,242,2811288
ar_243,243,94761058
ar_244,244,64935
ar_245,245,7324827
ar_246,246,10134258
ar_247,247,367482
ar_248,248,5096146
ar_249,249,138222592
ar_250,250,38011562
ar_251,251,3974142
ar_252,252,1672485
ar_253,253,88593931
ar_254,254,25513
ar_255,255,201863858
ar_256,256,67049714
ar_257,257,138330891
ar_258,258,361420098
ar_259,259,105230049
ar_260,260,140885
ar_261,261,24586
ar_262,262,137706817
ar_263,263,5146265
ar_264,264,6912653
ar_265,265,48511670
ar_266,266,53198311
ar_267,267,6703055
ar_268,268,46342705
ar_269,269,1101504
ar_270,270,1824609
ar_271,271,1648436
