artist_id,artist_id_matrix,play_count
ar_272,272,771193
ar_273,273,679873
ar_274,274,64062147
ar_275,275,3344851
ar_276,276,3506952
ar_277,277,165410771
ar_278,278,3549665
ar_279,279,325668081
ar_280,280,707683059
ar_281,281,1498806
ar_282,282,1965600
ar_283,283,289316936
ar_284,284,118542962
ar_285,285,76171041
ar_286,286,55890
ar_287,287,232074554
ar_288,288,242716723
ar_289,289,54689204
ar_290,290,125079292
ar_291,291,3272
ar_292,292,7997051
ar_293,293,202510560
ar_294,294,638483
ar_295,295,446793
ar_296,296,74593681
ar_297,297,844602
ar_298,298,1959859
ar_299,299,66171251
ar_300,300,146103490
ar_301,301,30201389
ar_302,302,557222
ar_303,303,123992011
ar_304,304,409936374
ar_305,305,29723472
ar_306,306,161503190
ar_307,307,29757
ar_308,308,157837902
ar_309,309,6376819
ar_310,310,11235832
ar_311,311,74164891
ar_312,312,30602937
ar_313,313,374890089
ar_314,314,143561229
ar_315,315,31661387
ar_316,316,176396760
ar_317,317,51936904
ar_318,318,204938970
ar_319,319,29467444
ar_320,320,32696524
ar_321,321,39167259
ar_322,322,527516327
ar_323,323,46128093
ar_324,324,48770958
ar_325,325,1454544
ar_326,326,4403622
ar_327,327,1957990
ar_328,328,5547630
ar_329,329,17392516
ar_330,330,18484614
ar_331,331,772743
ar_332,332,4288522
ar_333,333,2665227
ar_334,334,748622
ar_335,335,445013
ar_336,336,39481792
ar_337,337,181588503
ar_338,338,3316441
ar_339,339,3900
ar_340,340,566439
ar_341,341,145101204
ar_342,342,715469
ar_343,343,29941472
ar_344,344,123571278
ar_345,345,290502885
ar_346,346,125135664
ar_347,347,82986630
ar_348,348,61291027
ar_349,349,46977686
ar_350,350,22247069
ar_351,351,52741732
ar_352,352,69896397
ar_353,353,115733889
ar_354,354,155795988
ar_355,355,1484170
ar_356,356,4173827
ar_357,357,287794
ar_358,358,162944391
ar_359,359,414341
ar_360,360,166022632
ar_361,361,19351548
ar_362,362,2315868
ar_363,363,32813851
ar_364,364,3544905
ar_365,365,45339489
ar_366,366,25566768
ar_367,367,4789690
ar_368,368,12628
ar_369,369,14234136
ar_370,370,1468871
ar_371,371,288214886
ar_372,372,1428969
ar_373,373,172458
ar_374,374,616984
ar_375,375,1110106
ar_376,376,77816663
ar_377,377,80043049
ar_378,378,8690756
ar_379,379,4932
ar_380,380,5577852
ar_381,381,12203215
ar_382,382,2391464
ar_383,383,2507654
ar_384,384,1119871
ar_385,385,65091683
ar_386,386,156344
ar_387,387,9615788
ar_388,388,520762
ar_389,389,2745567
ar_390,390,9709934
ar_391,391,97236010
ar_392,392,4644231
ar_393,393,69411533
ar_394,394,6074283
ar_395,395,61937454
ar_396,396,18984595
ar_397,397,80538843
ar_398,398,193830245
ar_399,399,124364907
ar_400,400,105885226
ar_401,401,52498155
ar_402,402,50203863
ar_403,403,713908
ar_404,404,25601246
ar_405,405,59486922
ar_406,406,214785815
ar_407,407,25641279
ar_408,408,251182250
ar_409,409,5641481
ar_410,410,114509100
ar_411,411,3864963
ar_412,412,200854980
ar_413,413,99417302
ar_414,414,290159
ar_415,415,60721293
ar_416,416,149560725
ar_417,417,154653696
